Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Camila Cabello,My Oh My (feat. DaBaby),3yOlyBJuViE2YSGn3nVE1K,79,0.018,0.724,170746,0.491,1.29e-05,8,0.0887,-6.024,1,0.0296,105.046,4,0.383
Harry Styles,Adore You,1M4qEo4HE3PRaCOM7EXNJq,81,0.0237,0.676,207133,0.771,7e-06,8,0.102,-3.675,1,0.0483,99.048,4,0.569
Roddy Ricch,The Box,0nbXyq5TXYPCO7pr3N8S4I,70,0.104,0.896,196653,0.586,0.0,10,0.79,-6.687,0,0.0559,116.971,4,0.642
NF,PAID MY DUES,18czZN7uruOjftj71Kt8oj,76,0.136,0.812,211644,0.784,0.0,2,0.109,-4.208,1,0.248,145.995,4,0.38
The Chainsmokers,Family,3TKpJrY9q49Mj1JOsM9zGL,73,0.426,0.584,194827,0.607,0.0,11,0.101,-6.605,1,0.0356,117.817,4,0.374
French Montana,Out Of Your Mind (feat. Swae Lee & Chris Brown),54yCP5dfn4uvU5h37aE8f4,69,0.0229,0.718,194171,0.882,0.0286,4,0.102,-4.677,0,0.0521,95.005,4,0.611
Niall Horan,Put A Little Love On Me,1hCTxutVVYvggAQcUUUZAT,70,0.678,0.584,224586,0.465,0.0,10,0.106,-4.88,1,0.0262,95.969,4,0.299
Liam Payne,Live Forever (With Cheat Codes),4D3IIkBWnpL097OkljGnRW,64,0.213,0.69,174780,0.676,0.0,7,0.123,-6.111,1,0.0335,100.023,4,0.664
Taylor Swift,Christmas Tree Farm,2mvabkN1i2gLnGAPUVdwek,72,0.06,0.598,228027,0.68,0.0,7,0.324,-4.505,1,0.0331,134.002,4,0.437
Halsey,Finally // beautiful stranger,5YvcUK2eXJ2OllqDuEg18S,72,0.051,0.626,221096,0.55,0.0,9,0.118,-5.105,0,0.029,133.976,4,0.123
Tame Impala,Posthumous Forgiveness,3rQ0ZaLrkLv8HhAAKSbAC0,73,0.0487,0.228,366067,0.615,0.00293,7,0.327,-5.626,1,0.0328,166.035,4,0.12
Teyana Taylor,We Got Love,1gV9BVSqekZsvYoJVqwSY8,54,0.0364,0.742,195013,0.619,0.000147,7,0.444,-8.693,1,0.197,121.445,4,0.516
Oliver Tree,Cash Machine,3ernkvxpkWap60SeadSqGL,60,0.0188,0.424,177625,0.625,9.55e-05,9,0.118,-6.863,1,0.0339,200.642,4,0.518
Bastille,Admit Defeat,1OHAFggB1Jatvto7HvUN4L,59,0.155,0.653,185680,0.641,0.0,5,0.207,-7.007,1,0.0475,90.036,4,0.473
Chelsea Cutler,I Was In Heaven,35ohvaGJBqNoDo24H65yGj,61,0.775,0.443,255280,0.295,9.51e-06,5,0.163,-10.541,1,0.0279,79.393,4,0.186
KILLBOY,WHEREDAFUCC,0L3OFVFD0gLrS18BhV895N,48,0.0828,0.788,151837,0.809,0.0,5,0.155,-5.134,0,0.0769,98.01,4,0.532
XXXTENTACION,Ecstasy,4s7U2mS26ab7GFtgeUcwKA,69,0.509,0.606,240068,0.36,9.55e-05,3,0.105,-7.231,1,0.184,72.476,4,0.0391
