Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Elton John,"Rocket Man (I Think It's Going To Be A Long, Long Time)",3gdewACMIVMEWVbyb8O9sY,83,0.432,0.601,281613,0.532,6.25e-06,10,0.0925,-9.119,1,0.0286,136.571,4,0.341
Stevie Wonder,Isn't She Lovely,3vqlZUIT3rEmLaYKDBfb4Q,18,0.18,0.485,394267,0.82,0.00411,1,0.328,-6.887,0,0.0953,118.643,4,0.817
The Doobie Brothers,Listen to the Music,7Ar4G7Ci11gpt6sfH9Cgz5,76,0.221,0.645,227267,0.598,3.53e-06,1,0.0721,-13.18,0,0.0335,105.929,4,0.913
Van Morrison,Moondance - 2013 Remaster,683b4ikwa62JevCjwrmfg6,69,0.501,0.606,274040,0.282,8.3e-06,9,0.152,-12.207,0,0.0339,67.409,4,0.563
The Bellamy Brothers,Let Your Love Flow,064SVQsmWl5EF0zahmzkQk,69,0.0611,0.679,198760,0.553,7.16e-06,3,0.139,-14.687,1,0.0316,109.071,4,0.946
Elton John,Don't Go Breaking My Heart,7HW5WIw7ZgZORCzUxv5gW5,77,0.149,0.729,275440,0.844,2.87e-06,5,0.0604,-8.824,1,0.0344,131.459,4,0.777
Carly Simon,You're so Vain,2DnJjbjNTV9Nd5NOa1KGba,76,0.157,0.659,258411,0.678,6.69e-06,0,0.0784,-8.18,1,0.0313,106.186,4,0.647
Commodores,Easy,1JQ6Xm1JrvHfvAqhl5pwaA,77,0.112,0.589,256427,0.384,2.8e-05,10,0.0596,-15.075,0,0.0332,132.909,4,0.354
Don McLean,American Pie,1fDsrQ23eTAVFElUMaf38X,75,0.699,0.531,516893,0.481,0.0,4,0.0842,-11.709,0,0.06,138.45,4,0.491
Electric Light Orchestra,Livin' Thing,2hdNya0b6Cc2YJ8IyaQIWp,71,0.583,0.549,212307,0.651,0.0,0,0.121,-7.097,1,0.0323,122.818,4,0.368
Elton John,Your Song,38zsOOcu31XbbYj9BIPUF1,78,0.828,0.554,241787,0.315,5.53e-06,3,0.101,-11.028,1,0.0298,128.157,4,0.325
Eagles,Take It Easy - 2013 Remaster,4yugZvBYaoREkJKtbG08Qr,76,0.343,0.575,211578,0.67,4.95e-06,7,0.129,-10.39,1,0.0318,139.191,4,0.74
Yusuf / Cat Stevens,Wild World,6Xz7FeyE8HTP90HecgHV57,78,0.376,0.484,200173,0.508,0.000791,0,0.0961,-9.308,1,0.0364,151.867,4,0.554
Bread,Everything I Own,52VIdyKqp1pJRSyUQaxKUA,70,0.735,0.365,187000,0.338,0.0,2,0.104,-13.406,1,0.0322,79.241,4,0.446
Frankie Valli & The Four Seasons,"December, 1963 (Oh, What a Night)",4nuPrKithHbRJXuA9spwu4,43,0.0663,0.729,201093,0.6,7.86e-06,1,0.0382,-9.527,1,0.0255,104.414,4,0.964
Elton John,Tiny Dancer,2TVxnKdb3tqe1nhQWwwZCO,80,0.382,0.414,377093,0.428,0.000243,0,0.148,-11.097,1,0.0278,145.075,4,0.282
Stevie Wonder,You Are The Sunshine Of My Life,0n2pjCIMKwHSXoYfEbYMfX,71,0.823,0.519,178200,0.46,5.97e-05,11,0.243,-14.53,1,0.0688,132.082,4,0.675
John Denver,Annie's Song,5qxFudz7A6PGptviHsz4Yd,21,0.92,0.325,178267,0.308,0.00603,2,0.441,-11.503,1,0.0297,147.117,3,0.447
Simon & Garfunkel,Cecilia,6QhXQOpyYvbpdbyjgAqKdY,74,0.357,0.755,174827,0.876,5.17e-06,0,0.22,-8.867,1,0.0362,102.762,4,0.954
Fleetwood Mac,Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,80,0.0644,0.828,257800,0.492,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789
Elton John,Goodbye Yellow Brick Road - Remastered 2014,6Rvlwah55rEmg1ufhBz022,69,0.446,0.559,192827,0.473,0.00141,5,0.154,-7.712,1,0.0279,121.227,4,0.397
ABBA,"Knowing Me, Knowing You",46ou4l4zvrZMada0TgoVH9,54,0.0426,0.55,243893,0.741,3.72e-06,2,0.235,-7.109,1,0.0299,107.327,4,0.903
The Doobie Brothers,What a Fool Believes,2yBVeksU2EtrPJbTu4ZslK,70,0.284,0.758,223867,0.378,0.0,8,0.049,-15.308,0,0.0449,120.736,4,0.985
Paul Simon,50 Ways to Leave Your Lover,6Qb7gtV6Q4MnUjSbkFcopl,70,0.166,0.815,217347,0.372,0.000116,7,0.0767,-12.814,1,0.0752,101.684,4,0.293
Paul McCartney,Band On The Run - Remastered 2010,1H4idkmruFoJBg1DvUv2tY,72,0.0832,0.479,313027,0.601,0.00142,7,0.11,-8.806,1,0.0318,124.966,4,0.669
