Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
JAY-Z,Made In America,0qM9UF4CbazQ5xa8PCTopE,44,0.043,0.71,292067,0.729,5.88e-05,11,0.224,-7.01,0,0.219,165.899,4,0.55
JAY-Z,New Day,0x367gcUm6nsEoMXXFfEMy,47,0.389,0.561,272853,0.645,7.05e-05,10,0.142,-6.809,0,0.0705,91.005,4,0.359
JAY-Z,Welcome To The Jungle,0y0imMk6KsO90MaHG4MVAl,45,0.0128,0.636,174133,0.93,3.7e-06,2,0.18,-5.179,1,0.364,92.899,4,0.325
JAY-Z,Otis,14I61w6cyYUHiV2n28IYdP,53,0.552,0.755,178213,0.631,0.0,7,0.5,-4.751,0,0.302,94.571,4,0.433
JAY-Z,That's My Bitch,1BMzxGds8WSK39p4y432fl,45,0.237,0.745,202560,0.871,0.000293,7,0.121,-6.291,1,0.113,108.985,4,0.495
JAY-Z,Ni**as In Paris,1auxYwYrFRqZP7t3s7w4um,53,0.127,0.788,219333,0.859,0.0,1,0.348,-5.542,1,0.315,140.027,4,0.769
JAY-Z,Who Gon Stop Me,22ngk2DRBy7audIugfYDKd,46,0.0408,0.594,256707,0.73,0.000164,0,0.715,-4.638,0,0.159,133.88,4,0.378
JAY-Z,Gotta Have It,2aqe2NgAwmMlPgtf1MnGoy,50,0.411,0.74,140747,0.574,0.0,4,0.262,-6.938,1,0.245,149.762,4,0.33
JAY-Z,Murder To Excellence,3Gjc2FE6BEMMHURUjlMXvX,47,0.024,0.566,300960,0.816,0.0,1,0.0804,-4.741,1,0.32,87.353,4,0.578
JAY-Z,Lift Off,4TRUsIZw92IhJjAtxtiC4e,47,0.187,0.403,266253,0.784,0.00177,2,0.165,-7.584,0,0.171,179.427,3,0.275
JAY-Z,Why I Love You,4bDPr2VAjcfgUDmN9dGOC3,45,0.0261,0.481,201453,0.805,0.0,5,0.267,-4.132,1,0.0419,123.441,4,0.373
JAY-Z,No Church In The Wild,7r6PigmGzlB3YPB7wvBBbi,53,0.244,0.654,272507,0.751,0.0179,8,0.167,-7.508,0,0.105,92.774,4,0.568
JAY-Z,Otis - Album Version (Edited),02LR2RXBpeoHerfBNypEj7,33,0.576,0.758,178187,0.633,0.0,7,0.511,-4.804,0,0.31,94.572,4,0.394
JAY-Z,Lift Off,08T26i7SErk6jCDTW7uUFI,55,0.187,0.403,266253,0.784,0.00177,2,0.165,-7.584,0,0.171,179.427,3,0.275
JAY-Z,No Church In The Wild - Album Version (Edited),0KnrQ6u4dvIbqblPwZeBRX,31,0.242,0.665,272547,0.74,0.0306,8,0.153,-7.533,0,0.108,92.75,4,0.549
JAY-Z,Ni**as In Paris - Album Version (Edited),0RIGEVmc5IPQJ8VIjL1z98,24,0.112,0.804,219333,0.884,0.0,1,0.332,-4.166,1,0.289,140.046,4,0.699
JAY-Z,Welcome To The Jungle - Album Version (Edited),0Vky7XWAqOEsrETym6j22Q,22,0.0115,0.639,174133,0.926,5.18e-06,7,0.144,-5.292,1,0.367,93.052,4,0.331
JAY-Z,The Joy,0fjUmA3EdEZBBVyKNhsct0,49,0.146,0.584,317920,0.516,3.07e-05,7,0.139,-6.256,1,0.325,79.743,4,0.326
JAY-Z,Otis,0nLcWJB4ir9430ulKxZZhV,47,0.552,0.755,178213,0.631,0.0,7,0.5,-4.751,0,0.302,94.571,4,0.433
JAY-Z,New Day,0tehxJrW3U8vXsJokXjywD,40,0.389,0.561,272853,0.645,7.05e-05,10,0.142,-6.809,0,0.0705,91.005,4,0.359
JAY-Z,Made In America - Album Version (Edited),0yDD8Q3SY1pLtHsLeqlu8d,27,0.0383,0.705,292000,0.734,0.000103,11,0.214,-6.981,0,0.213,165.846,4,0.549
JAY-Z,Made In America,15kwOUhZh4wLBhXALRdH2j,38,0.043,0.71,292067,0.729,5.88e-05,11,0.224,-7.01,0,0.219,165.899,4,0.55
JAY-Z,Otis - Album Version (Edited),1EZEqBLmtSVu91wqQJmL9n,20,0.576,0.758,178187,0.633,0.0,7,0.511,-4.804,0,0.31,94.572,4,0.394
JAY-Z,Why I Love You - Album Version (Edited),1R6K5wtbrxql3CVu32Kl4M,23,0.0178,0.616,201440,0.786,0.0,5,0.238,-4.105,1,0.0376,125.729,4,0.34
JAY-Z,Why I Love You,1RcOY4L1XFV9o5q4LUjRtP,38,0.0261,0.481,201453,0.805,0.0,5,0.267,-4.132,1,0.0419,123.441,4,0.373
JAY-Z,Welcome To The Jungle - Album Version (Edited),1XRAWuylV0Riy5IhDHysot,13,0.0115,0.639,174133,0.926,5.18e-06,7,0.144,-5.292,1,0.367,93.052,4,0.331
JAY-Z,Murder To Excellence - Album Version (Edited),1ZivmChzCjYmKJwlOzPv7L,17,0.0221,0.396,300960,0.822,0.0,1,0.0839,-4.744,1,0.441,174.292,4,0.574
JAY-Z,Made In America - Album Version (Edited),1bIXnXQTA2TkGroanGkD7i,12,0.0383,0.705,292000,0.734,0.000103,11,0.214,-6.981,0,0.213,165.846,4,0.549
JAY-Z,Murder To Excellence,1smcSwXObpmxcjCulmjMgy,55,0.024,0.566,300960,0.816,0.0,1,0.0804,-4.741,1,0.32,87.353,4,0.578
JAY-Z,Who Gon Stop Me - Album Version (Edited),1wdRl5smbaNip1WAnIvTmh,25,0.0452,0.605,256720,0.74,4.06e-05,0,0.502,-4.746,0,0.186,133.936,4,0.33
JAY-Z,Gotta Have It - Album Version (Edited),25DSfDIevRVEjZRi8ztia5,19,0.397,0.729,140733,0.566,0.0,4,0.204,-6.948,0,0.255,149.877,4,0.319
