,Artist,Track Name,Track ID,Popularity,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
0,XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,87,0.469,0.872,119133,0.391,4.13e-06,0,0.297,-9.144,0,0.242,134.021,4,0.437
1,Granular,White Noise - 500 hz,65rkHetZXO6DQmBh3C2YtW,84,0.923,0.0,147097,4.98e-05,0.297,10,0.11,-32.354,0,0.0,0.0,0,0.0
2,Frank Ocean,Chanel,6Nle9hKrkL1wQpwNfEkxjh,84,0.874,0.776,210285,0.503,0.0,0,0.112,-5.732,0,0.237,110.134,4,0.473
3,XXXTENTACION,Fuck Love (feat. Trippie Redd),7AQim7LbvFVZJE3O8TYgf2,84,0.0172,0.797,146520,0.533,0.000152,0,0.103,-9.74,0,0.0412,131.036,4,0.329
4,Lil Uzi Vert,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO,84,0.00264,0.732,182707,0.75,0.0,11,0.109,-6.366,0,0.231,155.096,4,0.401
5,Granular,White Noise - 145 hz,6H4B9gJD6eQlNoEh8q85pP,82,0.944,0.0,135484,2.03e-05,0.869,2,0.112,-40.449,0,0.0,0.0,0,0.0
6,Offset,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR,83,0.149,0.88,172800,0.428,5.07e-05,9,0.114,-8.28,1,0.206,100.007,4,0.333
7,Billie Eilish,idontwannabeyouanymore,41zXlQxzTi6cGAjpOXyLYH,85,0.737,0.483,203569,0.412,0.0,7,0.116,-8.461,1,0.0402,170.163,3,0.247
8,Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,84,0.199,0.798,202547,0.539,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,4,0.394
9,Lil Uzi Vert,20 Min,0uxSUdBrJy9Un0EYoBowng,80,0.109,0.773,220587,0.75,0.0,8,0.174,-4.009,0,0.117,123.426,4,0.783
10,Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS,84,0.000282,0.908,177000,0.621,5.39e-05,1,0.0958,-6.638,0,0.102,150.011,4,0.421
11,Khalid,Location,152lZdxL1OR0ZMW6KquMif,83,0.33,0.736,219080,0.449,0.000162,1,0.0898,-11.462,0,0.425,80.126,4,0.326
12,Kendrick Lamar,LOVE. FEAT. ZACARI.,6PGoSes0D9eUDeeAafB2As,81,0.264,0.8,213400,0.585,0.0,10,0.153,-7.343,1,0.0924,126.058,4,0.779
13,Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,79,0.0153,0.464,222533,0.813,0.0,10,0.254,-6.185,1,0.0416,75.975,4,0.516
14,XXXTENTACION,Everybody Dies In Their Nightmares,3GVkPk8mqxz0itaAriG1L7,83,0.847,0.734,95467,0.57,2.14e-05,7,0.112,-7.066,0,0.133,129.953,4,0.689
15,Rex Orange County,Best Friend,47Bg6IrMed1GPbxRgwH2aC,82,0.395,0.575,262231,0.714,0.0,6,0.115,-5.247,1,0.0596,144.982,4,0.32
16,NF,Let You Down,52okn5MNA47tk87PeZJLEL,84,0.312,0.662,212120,0.714,0.0,5,0.179,-5.68,0,0.121,147.997,4,0.464
